MACHINENAME,FACTORYNAME,PMS_MACHINEGROUPNAME,AREANAME,SUPERMACHINENAME,DESCRIPTION
A1PHT07_DV1_OV2,ARRAY,,BA1PHT03,A1PHT07_DV1,AHP(5-3)
A1PHT07_DV1_OV4,ARRAY,,BA1PHT03,A1PHT07_DV1,AHP(5-5)
A1PHT07_DV1_OV5,ARRAY,,BA1PHT03,A1PHT07_DV1,AHP(5-6)
C1ODF03_OV1,CELL,,BC1ODF01,C1ODF03,Anneal
A1PHT07_DV1_OV6,ARRAY,,BA1PHT03,A1PHT07_DV1,COOL(5-7)
A1PHT07_DV1_OV3,ARRAY,,BA1PHT03,A1PHT07_DV1,TS COL(5-4)
A1PHT07_DV1_BF1,ARRAY,,BA1PHT03,A1PHT07_DV1,PSTAGE(5-8)
A1PHT07_DV1_BF2,ARRAY,,BA1PHT03,A1PHT07_DV1,PSTAGE(5-9)
C1ODF03_UD1,CELL,Y,BC1ODF01,C1ODF03,Unloader
C1ODF03_UD1_RT1,CELL,,BC1ODF01,C1ODF03_UD1,Robot
A1PHT07_DV1_BF3,ARRAY,,BA1PHT03,A1PHT07_DV1,PSTAGE(5-10)
A1PHT07_DV1_BF4,ARRAY,,BA1PHT03,A1PHT07_DV1,PSTAGE(5-11)
F1CSL01_AI1_AI1,CF,,BF1CSL01,F1CSL01_AI1,AOI检测
F1CSL01_OV1_OV1,CF,,BF1CSL01,F1CSL01_OV1,Oven
F1ITO01,CF,GF1ITO01,BF1ITO01,,ITO 成膜线
F1ITO01_LD1,CF,,BF1ITO01,F1ITO01,ITO 成膜线 Index 1#
F1ITO01_CL1,CF,,BF1ITO01,F1ITO01,ITO 成膜线 Pre-Ashing清洗
F1ITO01_AS1,CF,,BF1ITO01,F1ITO01,ITO 成膜线 Full Asher
F1ITO01_CL2,CF,,BF1ITO01,F1ITO01,ITO 成膜线 Pre-ITO清洗
F1ITO01_IR1,CF,,BF1ITO01,F1ITO01,ITO 成膜线 IR/AC
F1ITO01_LD2,CF,,BF1ITO01,F1ITO01,ITO 成膜线 Index 2#
F1ITO01_SP1,CF,,BF1ITO01,F1ITO01,ITO 成膜线 ITO Sputter
F1ITO01_LD3,CF,,BF1ITO01,F1ITO01,ITO 成膜线 Index 3#
F1ITO01_CL3,CF,,BF1ITO01,F1ITO01,ITO 成膜线 Post-ITO清洗
F1ITO01_OV1,CF,,BF1ITO01,F1ITO01,ITO 成膜线 Anneal Oven
F1ITO01_AI1,CF,,BF1ITO01,F1ITO01,ITO 成膜线 AOI检测
F1ITO01_LD1_RT1,CF,,BF1ITO01,F1ITO01_LD1,ITO 成膜线 Index 1#Robot
F1ITO01_LD1_BF1,CF,,BF1ITO01,F1ITO01_LD1,ITO 成膜线 Index 1#Through BF
F1ITO01_CL1_CL1,CF,,BF1ITO01,F1ITO01_CL1,ITO 成膜线 Pre-Ashing清洗
F1ITO01_AS1_AS1,CF,,BF1ITO01,F1ITO01_AS1,ITO 成膜线 Full Asher
